,Date,Shares Outstanding,Code
208,1987-02-03,2388787000.0000005,0002.HK
209,1987-02-04,2388787000.0000005,0002.HK
210,1987-02-05,2388787000.0000005,0002.HK
211,1987-02-06,2388787000.0000005,0002.HK
212,1987-02-09,2388787000.0000005,0002.HK
213,1987-02-10,2388787000.0000005,0002.HK
214,1987-02-11,2388787000.0000005,0002.HK
215,1987-02-12,2388787000.0000005,0002.HK
216,1987-02-13,2388787000.0000005,0002.HK
217,1987-02-16,2388787000.0000005,0002.HK
218,1987-02-17,2388787000.0000005,0002.HK
219,1987-02-18,2388787000.0000005,0002.HK
220,1987-02-19,2388787000.0000005,0002.HK
221,1987-02-20,2388787000.0000005,0002.HK
222,1987-02-23,2388787000.0000005,0002.HK
223,1987-02-24,2388787000.0000005,0002.HK
224,1987-02-25,2388787000.0000005,0002.HK
225,1987-02-26,2388787000.0000005,0002.HK
226,1987-02-27,2388787000.0000005,0002.HK
227,1987-03-02,2388787000.0000005,0002.HK
228,1987-03-03,2388787000.0000005,0002.HK
229,1987-03-04,2388787000.0000005,0002.HK
230,1987-03-05,2388787000.0000005,0002.HK
231,1987-03-06,2388787000.0000005,0002.HK
232,1987-03-09,2388787000.0000005,0002.HK
233,1987-03-10,2388787000.0000005,0002.HK
234,1987-03-11,2388787000.0000005,0002.HK
235,1987-03-12,2388787000.0000005,0002.HK
236,1987-03-13,2388787000.0000005,0002.HK
237,1987-03-16,2388787000.0000005,0002.HK
238,1987-03-17,2388787000.0000005,0002.HK
239,1987-03-18,2388787000.0000005,0002.HK
240,1987-03-19,2388787000.0000005,0002.HK
241,1987-03-20,2388787000.0000005,0002.HK
242,1987-03-23,2388787000.0000005,0002.HK
243,1987-03-24,2388787000.0000005,0002.HK
244,1987-03-25,2388787000.0000005,0002.HK
245,1987-03-26,2388787000.0000005,0002.HK
246,1987-03-27,2388787000.0000005,0002.HK
247,1987-03-30,2388787000.0000005,0002.HK
248,1987-03-31,2388787000.0000005,0002.HK
249,1987-04-01,2388787000.0000005,0002.HK
250,1987-04-02,2388787000.0000005,0002.HK
251,1987-04-03,2388787000.0000005,0002.HK
252,1987-04-07,2388787000.0000005,0002.HK
253,1987-04-08,2388787000.0000005,0002.HK
254,1987-04-09,2388787000.0000005,0002.HK
255,1987-04-10,2388787000.0000005,0002.HK
256,1987-04-13,2388787000.0000005,0002.HK
257,1987-04-14,2388787000.0000005,0002.HK
258,1987-04-15,2388787000.0000005,0002.HK
259,1987-04-16,2388787000.0000005,0002.HK
260,1987-04-21,2388787000.0000005,0002.HK
261,1987-04-22,2388787000.0000005,0002.HK
262,1987-04-23,2388787000.0000005,0002.HK
263,1987-04-24,2388787000.0000005,0002.HK
264,1987-04-27,2388787000.0000005,0002.HK
265,1987-04-28,2388787000.0000005,0002.HK
266,1987-04-29,2388787000.0000005,0002.HK
267,1987-04-30,2388787000.0000005,0002.HK
268,1987-05-01,2388787000.0000005,0002.HK
269,1987-05-04,2388787000.0000005,0002.HK
270,1987-05-05,2388787000.0000005,0002.HK
271,1987-05-06,2388787000.0000005,0002.HK
272,1987-05-07,2388787000.0000005,0002.HK
273,1987-05-08,2388787000.0000005,0002.HK
274,1987-05-11,2388787000.0000005,0002.HK
275,1987-05-12,2388787000.0000005,0002.HK
276,1987-05-13,2388787000.0000005,0002.HK
277,1987-05-14,2388787000.0000005,0002.HK
278,1987-05-15,2388787000.0000005,0002.HK
279,1987-05-18,2388787000.0000005,0002.HK
280,1987-05-19,2388787000.0000005,0002.HK
281,1987-05-20,2388787000.0000005,0002.HK
282,1987-05-21,2388787000.0000005,0002.HK
283,1987-05-22,2388787000.0000005,0002.HK
284,1987-05-25,2388787000.0000005,0002.HK
285,1987-05-26,2388787000.0000005,0002.HK
286,1987-05-27,2388787000.0000005,0002.HK
287,1987-05-28,2388787000.0000005,0002.HK
288,1987-05-29,2388787000.0000005,0002.HK
289,1987-06-02,2388787000.0000005,0002.HK
290,1987-06-03,2388787000.0000005,0002.HK
291,1987-06-04,2388787000.0000005,0002.HK
292,1987-06-05,2388787000.0000005,0002.HK
293,1987-06-08,2388787000.0000005,0002.HK
294,1987-06-09,2388787000.0000005,0002.HK
295,1987-06-10,2388787000.0000005,0002.HK
296,1987-06-11,2388787000.0000005,0002.HK
297,1987-06-12,2388787000.0000005,0002.HK
298,1987-06-16,2388787000.0000005,0002.HK
299,1987-06-17,2388787000.0000005,0002.HK
300,1987-06-18,2388787000.0000005,0002.HK
301,1987-06-19,2388787000.0000005,0002.HK
302,1987-06-22,2388787000.0000005,0002.HK
303,1987-06-23,2388787000.0000005,0002.HK
304,1987-06-24,2388787000.0000005,0002.HK
305,1987-06-25,2388787000.0000005,0002.HK
306,1987-06-26,2388787000.0000005,0002.HK
307,1987-06-29,2388787000.0000005,0002.HK
308,1987-06-30,2388787000.0000005,0002.HK
309,1987-07-01,2388787000.0000005,0002.HK
310,1987-07-02,2388787000.0000005,0002.HK
311,1987-07-03,2388787000.0000005,0002.HK
312,1987-07-06,2388787000.0000005,0002.HK
313,1987-07-07,2388787000.0000005,0002.HK
314,1987-07-08,2388787000.0000005,0002.HK
315,1987-07-09,2388787000.0000005,0002.HK
316,1987-07-10,2388787000.0000005,0002.HK
317,1987-07-13,2388787000.0000005,0002.HK
318,1987-07-14,2388787000.0000005,0002.HK
319,1987-07-15,2388787000.0000005,0002.HK
320,1987-07-16,2388787000.0000005,0002.HK
321,1987-07-17,2388787000.0000005,0002.HK
322,1987-07-20,2388787000.0000005,0002.HK
323,1987-07-21,2388787000.0000005,0002.HK
324,1987-07-22,2388787000.0000005,0002.HK
325,1987-07-23,2388787000.0000005,0002.HK
326,1987-07-24,2388787000.0000005,0002.HK
327,1987-07-27,2388787000.0000005,0002.HK
328,1987-07-28,2388787000.0000005,0002.HK
329,1987-07-29,2388787000.0000005,0002.HK
330,1987-07-30,2388787000.0000005,0002.HK
331,1987-07-31,2388787000.0000005,0002.HK
332,1987-08-03,2388787000.0000005,0002.HK
333,1987-08-04,2388787000.0000005,0002.HK
334,1987-08-05,2388787000.0000005,0002.HK
335,1987-08-06,2388787000.0000005,0002.HK
336,1987-08-07,2388787000.0000005,0002.HK
337,1987-08-10,2388787000.0000005,0002.HK
338,1987-08-11,2388787000.0000005,0002.HK
339,1987-08-12,2388787000.0000005,0002.HK
340,1987-08-13,2388787000.0000005,0002.HK
341,1987-08-14,2388787000.0000005,0002.HK
342,1987-08-17,2388787000.0000005,0002.HK
343,1987-08-18,2388787000.0000005,0002.HK
344,1987-08-19,2388787000.0000005,0002.HK
345,1987-08-20,2388787000.0000005,0002.HK
346,1987-08-21,2388787000.0000005,0002.HK
347,1987-08-24,2388787000.0000005,0002.HK
348,1987-08-25,2388787000.0000005,0002.HK
349,1987-08-26,2388787000.0000005,0002.HK
350,1987-08-27,2388787000.0000005,0002.HK
351,1987-08-28,2388787000.0000005,0002.HK
352,1987-09-01,2388787000.0000005,0002.HK
353,1987-09-02,2388787000.0000005,0002.HK
354,1987-09-03,2388787000.0000005,0002.HK
355,1987-09-04,2388787000.0000005,0002.HK
356,1987-09-07,2388787000.0000005,0002.HK
357,1987-09-08,2388787000.0000005,0002.HK
358,1987-09-09,2388787000.0000005,0002.HK
359,1987-09-10,2388787000.0000005,0002.HK
360,1987-09-11,2388787000.0000005,0002.HK
361,1987-09-14,2388787000.0000005,0002.HK
362,1987-09-15,2388787000.0000005,0002.HK
363,1987-09-16,2388787000.0000005,0002.HK
364,1987-09-17,2388787000.0000005,0002.HK
365,1987-09-18,2388787000.0000005,0002.HK
366,1987-09-21,2388787000.0000005,0002.HK
367,1987-09-22,2388787000.0000005,0002.HK
368,1987-09-23,2388787000.0000005,0002.HK
369,1987-09-24,2388787000.0000005,0002.HK
370,1987-09-25,2388787000.0000005,0002.HK
371,1987-09-28,2388787000.0000005,0002.HK
372,1987-09-29,2388787000.0000005,0002.HK
373,1987-09-30,2388787000.0000005,0002.HK
374,1987-10-01,2388787000.0000005,0002.HK
375,1987-10-02,2388787000.0000005,0002.HK
376,1987-10-05,2388787000.0000005,0002.HK
377,1987-10-06,2388787000.0000005,0002.HK
378,1987-10-07,2388787000.0000005,0002.HK
379,1987-10-09,2388787000.0000005,0002.HK
380,1987-10-12,2388787000.0000005,0002.HK
381,1987-10-13,2388787000.0000005,0002.HK
382,1987-10-14,2388787000.0000005,0002.HK
383,1987-10-15,2388787000.0000005,0002.HK
384,1987-10-16,2388787000.0000005,0002.HK
385,1987-10-19,2388787000.0000005,0002.HK
386,1987-10-26,2388787000.0000005,0002.HK
387,1987-10-27,2388787000.0000005,0002.HK
388,1987-10-28,2388787000.0000005,0002.HK
389,1987-10-29,2388787000.0000005,0002.HK
390,1987-10-30,2388787000.0000005,0002.HK
391,1987-11-02,2388787000.0000005,0002.HK
392,1987-11-03,2388787000.0000005,0002.HK
393,1987-11-04,2388787000.0000005,0002.HK
394,1987-11-05,2388787000.0000005,0002.HK
395,1987-11-06,2388787000.0000005,0002.HK
396,1987-11-09,2388787000.0000005,0002.HK
397,1987-11-10,2388787000.0000005,0002.HK
398,1987-11-11,2388787000.0000005,0002.HK
399,1987-11-12,2388787000.0000005,0002.HK
400,1987-11-13,2388787000.0000005,0002.HK
401,1987-11-16,2388787000.0000005,0002.HK
402,1987-11-17,2388787000.0000005,0002.HK
403,1987-11-18,2388787000.0000005,0002.HK
404,1987-11-19,2388787000.0000005,0002.HK
405,1987-11-20,2388787000.0000005,0002.HK
406,1987-11-23,2388787000.0000005,0002.HK
407,1987-11-24,2388787000.0000005,0002.HK
408,1987-11-25,2388787000.0000005,0002.HK
409,1987-11-26,2388787000.0000005,0002.HK
410,1987-11-27,2388787000.0000005,0002.HK
411,1987-11-30,2388787000.0000005,0002.HK
412,1987-12-01,2388787000.0000005,0002.HK
413,1987-12-02,2388787000.0000005,0002.HK
414,1987-12-03,2388787000.0000005,0002.HK
415,1987-12-04,2388787000.0000005,0002.HK
416,1987-12-07,2388787000.0000005,0002.HK
417,1987-12-08,2388787000.0000005,0002.HK
418,1987-12-09,2388787000.0000005,0002.HK
419,1987-12-10,2388787000.0000005,0002.HK
420,1987-12-11,2388787000.0000005,0002.HK
421,1987-12-14,2388787000.0000005,0002.HK
422,1987-12-15,2388787000.0000005,0002.HK
423,1987-12-16,2388787000.0000005,0002.HK
424,1987-12-17,2388787000.0000005,0002.HK
425,1987-12-18,2388787000.0000005,0002.HK
426,1987-12-21,2388787000.0000005,0002.HK
427,1987-12-22,2388787000.0000005,0002.HK
428,1987-12-23,2388787000.0000005,0002.HK
429,1987-12-24,2388787000.0000005,0002.HK
430,1987-12-28,2388787000.0000005,0002.HK
431,1987-12-29,2388787000.0000005,0002.HK
432,1987-12-30,2388787000.0000005,0002.HK
433,1987-12-31,2388787000.0000005,0002.HK
434,1988-01-04,2388787000.0000005,0002.HK
435,1988-01-05,2388787000.0000005,0002.HK
436,1988-01-06,2388787000.0000005,0002.HK
437,1988-01-07,2388787000.0000005,0002.HK
438,1988-01-08,2388787000.0000005,0002.HK
439,1988-01-11,2388787000.0000005,0002.HK
440,1988-01-12,2388787000.0000005,0002.HK
441,1988-01-13,2388787000.0000005,0002.HK
442,1988-01-14,2388787000.0000005,0002.HK
443,1988-01-15,2388787000.0000005,0002.HK
444,1988-01-18,2388787000.0000005,0002.HK
445,1988-01-19,2388787000.0000005,0002.HK
446,1988-01-20,2388787000.0000005,0002.HK
447,1988-01-21,2388787000.0000005,0002.HK
448,1988-01-22,2388787000.0000005,0002.HK
449,1988-01-25,2388787000.0000005,0002.HK
450,1988-01-26,2388787000.0000005,0002.HK
451,1988-01-27,2388787000.0000005,0002.HK
452,1988-01-28,2388787000.0000005,0002.HK
453,1988-01-29,2388787000.0000005,0002.HK
454,1988-02-01,2388787000.0000005,0002.HK
455,1988-02-02,2388787000.0000005,0002.HK
456,1988-02-03,2388787000.0000005,0002.HK
457,1988-02-04,2388787000.0000005,0002.HK
458,1988-02-05,2388787000.0000005,0002.HK
459,1988-02-08,2388787000.0000005,0002.HK
460,1988-02-09,2388787000.0000005,0002.HK
461,1988-02-10,2388787000.0000005,0002.HK
462,1988-02-11,2388787000.0000005,0002.HK
463,1988-02-12,2388787000.0000005,0002.HK
464,1988-02-15,2388787000.0000005,0002.HK
465,1988-02-16,2388787000.0000005,0002.HK
466,1988-02-22,2388787000.0000005,0002.HK
467,1988-02-23,2388787000.0000005,0002.HK
468,1988-02-24,2388787000.0000005,0002.HK
469,1988-02-25,2388787000.0000005,0002.HK
470,1988-02-26,2388787000.0000005,0002.HK
471,1988-02-29,2388787000.0000005,0002.HK
472,1988-03-01,2388787000.0000005,0002.HK
473,1988-03-02,2388787000.0000005,0002.HK
474,1988-03-03,2388787000.0000005,0002.HK
475,1988-03-04,2388787000.0000005,0002.HK
476,1988-03-07,2388787000.0000005,0002.HK
477,1988-03-08,2388787000.0000005,0002.HK
478,1988-03-09,2388787000.0000005,0002.HK
479,1988-03-10,2388787000.0000005,0002.HK
480,1988-03-11,2388787000.0000005,0002.HK
481,1988-03-14,2388787000.0000005,0002.HK
